Artist,Album,Type,Year,Physical,Digital,Discogs,Quantity,Date Aquired,Notes
DJ White Shadow,God Iz Back,Mixape/demo/samle,1999,FALSE,FALSE,FALSE,,,
Essentials,Wakeupcall,CDS,1999,FALSE,FALSE,FALSE,,,
Evig Poesi,Where’s Your Hope At?,DEMO CD,1999,FALSE,FALSE,FALSE,,,
Farell,My Life,CDS,1999,FALSE,FALSE,FALSE,,,
Farell,This Is My Reality,CDS,1999,FALSE,FALSE,FALSE,,,
Fusion Of Styles,Demo,Mixape/demo/samle,1999,FALSE,FALSE,FALSE,,,
Gatas Parlament,Stem Gatas Parlament,CD,1999,FALSE,FALSE,TRUE,,,Hm den gjorde det. såvidt jeg husker trykte vi opp en singel med remix + gataspill låta i 5000 ex som vi delte ut på roskildefestivalen det året vi spilte der + i demoen mooooootttt bush som var i køben etterpå. tviler på at vi har noen igjen fra det dog
Kapabel,Gulle godt vol. 1,Mixape/demo/samle,1999,FALSE,FALSE,FALSE,,,
Killah Mac,De Assassin,CD,1999,FALSE,FALSE,FALSE,,,
Klovner I Kamp,Bare Meg,CDS,1999,TRUE,FALSE,TRUE,,27.02.2016,
Kølla & Bølla,Kolbotn Playboys EP,12’’,1999,FALSE,FALSE,FALSE,,,
Kølla & Bølla,Kolbotn Playboys EP,CD,1999,FALSE,FALSE,FALSE,,,
Mindstate,Mindstate Blow,CD,1999,FALSE,FALSE,TRUE,,,
Multicyde,Not For the Dough,CD,1999,FALSE,FALSE,FALSE,,,
Multicyde,Multicydal,CDA,1999,TRUE,FALSE,FALSE,,,
Multicyde,Not For The Dough,CDS,1999,TRUE,FALSE,FALSE,,,
Noora,Curious,Promo CD,1999,FALSE,FALSE,FALSE,,,
Noora,I Wonder Why,CD,1999,FALSE,FALSE,FALSE,,,
Noora,Official,CD,1999,FALSE,FALSE,FALSE,,,
Noora,Something to Remember,Promo CD,1999,FALSE,FALSE,FALSE,,,
Noora,Sophie’s World,Promo CD,1999,FALSE,FALSE,FALSE,,,
Oslo Fluid,Intermission EP,CDS,1999,TRUE,FALSE,FALSE,,,
Oslo's Most Wanted,Can't Stop We,CDS,1999,FALSE,FALSE,FALSE,,,
Pen Jakke,De Kom Ridene,CDS,1999,FALSE,FALSE,FALSE,,,
Rhymers Bench,Rhymers Bench,,1999,FALSE,FALSE,FALSE,,,
Råtape (live-MC),Råtape (live-MC),Mixape/demo/samle,1999,FALSE,FALSE,FALSE,,,
Tommy Tee,Day By Day / International Connects,12’’,1999,TRUE,FALSE,FALSE,3,,
Tommy Tee,Crossing Borders,CDS,1999,TRUE,FALSE,FALSE,2,,
TP Allstars,Domini,CDS,1999,TRUE,FALSE,FALSE,,,
TP Allstars,Foul Child / City Soldiers,CDS,1999,TRUE,FALSE,FALSE,,,
TP Allstars,Norske Byggeklosser,CD,1999,TRUE,FALSE,FALSE,,,
TP Allstars,Dream On,CDS,1999,TRUE,FALSE,FALSE,,,
Tungtvann,Reinspikka hip hop,12’’,1999,FALSE,FALSE,FALSE,,,
Xtra Crew,Xtra Crew EP,Demo,1999,FALSE,FALSE,FALSE,,,
Apollo,Scenario,12’’,2000,FALSE,FALSE,TRUE,,,
Blow Up Productions,1 - 2,CD,2000,FALSE,FALSE,FALSE,,,
Conspiracy 2 Murda,The Mentally Dead: Episode 1 – The Resurrection EP,12’’,2000,FALSE,FALSE,FALSE,,,
Diaz,2050,CD,2000,TRUE,FALSE,FALSE,,,
Diaz,I Put My Life In It,CDS,2000,TRUE,FALSE,FALSE,,,
Diaz,Star From Trini,12’’,2000,TRUE,FALSE,FALSE,,,
Diaz,Star From Trini,CDS,2000,TRUE,FALSE,FALSE,,,
Diaz,I Come To Collect,12’’,2000,TRUE,FALSE,FALSE,,,
Diverse artister,ScandalNavia Vol. 1,CD,2000,FALSE,FALSE,TRUE,,,
Ekte bergensere,Ekte bergensere EP,12’’,2000,FALSE,FALSE,FALSE,,,
Eldialekto. Hosea. Evil child,Shit on Our Minds,Mixape/demo/samle,2000,FALSE,FALSE,FALSE,,,
Endre Modus,instruMENTALT forstyrra,Mixape/demo/samle,2000,FALSE,FALSE,FALSE,,,
Farell,Mamma,Promo CDS,2000,FALSE,FALSE,FALSE,,,
Farell,My Third Eye,CD,2000,FALSE,FALSE,FALSE,,,
Farell,Something Is Missing,CDS,2000,FALSE,FALSE,FALSE,,,
Glamma Life,The Glamma Life,12’’ / CDS,2000,FALSE,FALSE,FALSE,,,
Jewelz,Last Night,CD,2000,FALSE,FALSE,FALSE,,,
Kapabel,Kapabel - alias Istainn-T EP,12’’,2000,FALSE,FALSE,FALSE,,,
Kevin & Mae,En av Fem,12’’,2000,FALSE,FALSE,FALSE,,,
Kleen Cut,Do It Again,12’’,2000,FALSE,FALSE,FALSE,,,
Kleen Cut,Do It Again,CD,2000,FALSE,FALSE,FALSE,,,
Klovner I Kamp,Schwin,CD,2000,TRUE,FALSE,TRUE,,,
MadCon,God Forgive Me,CDS,2000,FALSE,FALSE,FALSE,,,
MadCon,God Forgive Me,CD,2000,FALSE,FALSE,FALSE,,,
MadCon,O.C (Oslo City),CDS,2000,FALSE,FALSE,FALSE,,,
Multicyde,Catch Us,CD,2000,FALSE,FALSE,FALSE,,,
Multicyde,The Banger,CD,2000,FALSE,FALSE,FALSE,,,
Nutsons,The Paranorml Sickayatrist EP,12’’,2000,FALSE,FALSE,FALSE,,,
Opaque,Proletarian Kingz,12’’,2000,FALSE,FALSE,FALSE,,,
